Year,Month,Date,Living,Food,Medical,Transportation,Kitties,Shopping,Entertainment,Sport,Misc.,Travel,Debts,Savings,Income
2019,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2019,6,2,1200,886,0,163,0,0,0,0,0,0,0,0,0
2019,6,3,1160,1254,0,90,0,0,0,0,0,0,0,0,0
2019,6,4,49,1192,1000,220,199,278,0,40,0,0,0,0,0
2019,6,5,1099,29,0,226,0,0,0,0,0,0,0,0,047053
2019,6,6,0,90,0,0,0,0,0,0,12533,0,0,0,0
2019,6,7,0,470,0,0,0,0,0,0,0,0,0,0,0
2019,6,8,0,1475,0,478,0,0,0,0,0,0,0,0,0
2019,6,9,32530,150,0,0,0,0,0,0,0,0,0,0,0
2019,6,10,0,144,1000,235,0,0,0,0,0,0,0,0,082777
2019,6,11,0,1066,0,0,0,0,0,0,0,0,12680,0,0
2019,6,12,0,317,0,0,0,0,0,0,0,0,0,0,0
2019,6,13,0,1120,0,0,0,0,0,40,0,0,0,0,0
2019,6,14,0,90,0,1742,0,0,0,0,0,0,0,0,0
2019,6,15,299,558,0,130,0,0,1000,0,0,0,0,0,0
2019,6,16,5000,1269,0,254,0,0,0,0,0,0,0,0,0
2019,6,17,0,303,1000,0,0,0,0,0,0,0,0,0,0
2019,6,18,13015,726,0,0,0,0,0,40,0,0,0,0,0
2019,6,19,0,2388,0,0,0,0,0,0,0,0,0,0,0
2019,6,20,0,1223,0,0,0,0,0,40,0,0,0,0,0
2019,6,21,0,216,0,271,0,0,0,0,0,0,0,0,0
2019,6,22,0,363,0,1522,0,12500,0,0,0,0,0,0,0
2019,6,23,0,242,0,0,0,0,1000,0,0,0,0,0,0
2019,6,24,0,80,0,180,0,0,0,0,0,0,0,0,0
2019,6,25,0,453,0,0,5980,0,0,0,0,0,0,0,0
2019,6,26,925,470,0,110,0,0,0,0,0,0,0,0,0
2019,6,27,0,929,1000,48,0,0,0,40,0,0,0,0,0
2019,6,28,0,35,0,169,0,0,0,0,0,0,0,0,0
2019,6,29,0,1160,470,20,0,0,0,0,0,0,0,0,0
