Year,Month,Date,Living,Food,Medical,Transportation,Kitties,Shopping,Entertainment,Sport,Misc.,Travel,Debts,Savings,Income
2019,5,1,0,7500,82020,200,0,0,0,0,0,0,0,0,0
2019,5,2,0,11250,0,0,0,0,0,0,0,0,0,0,0
2019,5,3,0,18170,0,1450,0,0,0,0,0,0,0,0,0
2019,5,4,0,3980,0,400,0,0,6000,0,0,0,0,0,0
2019,5,5,0,11500,0,3500,0,0,0,0,0,0,0,0,0716270
2019,5,6,16000,34190,0,2000,0,0,320,0,123180,0,0,0,0
2019,5,7,0,8380,0,0,0,0,0,0,0,0,0,0,0
2019,5,8,0,1320,0,0,0,0,0,0,0,0,0,0,0
2019,5,9,0,9900,0,0,0,0,0,0,0,0,0,0,0
2019,5,10,325300,2850,0,0,0,0,0,0,0,0,126800,0,854820
2019,5,11,0,5250,0,0,0,0,6000,0,0,0,0,0,0
2019,5,12,0,9460,0,0,3040,7110,0,300,0,0,0,0,0
2019,5,13,0,8530,30000,980,0,0,0,0,0,0,0,0,0
2019,5,14,0,3350,0,1500,0,0,0,500,0,0,0,0,0
2019,5,15,0,5400,0,0,18100,0,0,0,28300,0,0,0,0
2019,5,16,0,9700,0,0,0,0,0,3300,0,0,0,0,0
2019,5,17,31990,3550,0,2850,0,0,0,0,0,0,0,0,0
2019,5,18,0,58000,0,0,0,0,0,0,0,0,0,0,0
2019,5,19,0,0,0,1520,0,0,10000,0,0,0,0,0,0
2019,5,20,0,2350,10000,780,0,0,0,0,0,0,0,0,0
2019,5,21,2200,9720,0,300,0,0,0,400,0,0,0,0,0
2019,5,22,0,900,0,0,0,0,0,0,0,0,0,0,0
2019,5,23,0,2400,0,1290,0,0,0,0,0,0,0,0,0
2019,5,24,0,22970,0,0,0,0,0,0,0,0,0,0,0
2019,5,25,0,8920,0,2000,0,0,0,0,10000,0,0,0,0
2019,5,26,0,8390,0,0,0,117900,0,0,0,0,0,0,0
2019,5,27,0,1890,10000,780,0,10700,0,0,0,0,0,0,0
2019,5,28,0,900,0,1510,0,20170,0,0,0,0,0,0,0
2019,5,29,0,5700,0,0,0,0,0,0,0,0,0,0,0
2019,5,30,0,12650,0,0,0,0,0,0,0,0,0,0,0
2019,5,31,0,330,0,200,0,0,0,0,0,0,87750,0,0
